STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,Latitude,Longitude
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-04,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-05,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-06,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-07,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-08,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-09,,,0.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-10,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-11,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-12,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-13,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-14,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-15,,,0.67,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-16,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-17,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-18,,,0.09,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-19,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-20,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-21,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-22,,,0.15,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-23,,,0.45,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-24,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-25,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-26,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-27,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-28,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-29,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-30,,,0.0,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-03-31,,,0.39,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-04-03,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-04-05,,,0.06,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-04-13,,,0.04,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-04-14,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-04-26,,,2.34,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-05-06,,,1.0,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-05-22,,,1.52,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-05-23,,,0.25,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-05-25,,,0.84,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-06-01,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-06-03,,,0.45,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-06-27,,,0.17,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-06-29,,,0.28,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-06-30,,,0.16,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-01,,,1.43,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-02,,,0.98,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-03,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-11,,,0.98,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-14,,,1.06,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-15,,,0.28,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-16,,,0.22,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-07-24,,,0.01,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-02,,,0.05,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-06,,,0.35,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-07,,,0.43,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-10,,,0.0,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-11,,,0.75,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-12,,,0.05,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-13,,,0.28,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-14,,,0.57,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-15,,,0.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-19,,,2.35,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-20,,,0.45,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-21,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-23,,,0.94,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-24,,,0.35,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-25,,,0.73,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-26,,,0.16,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-27,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-28,,,0.93,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-29,,,0.2,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-08-30,,,0.38,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-09-04,,,2.44,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-09-05,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-09-07,,,0.85,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-09-16,,,0.24,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-09-17,,,0.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-10-12,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-10-14,,,0.16,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-10-17,,,0.01,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-10-25,,,0.19,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-10-28,,,0.31,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-10-29,,,0.64,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-01,,,0.22,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-02,,,0.58,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-05,,,0.48,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-12,,,0.1,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-15,,,1.73,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-19,,,0.46,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-20,,,1.45,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-22,,,0.74,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-23,,,1.37,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-25,,,1.11,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-26,,,1.43,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-11-27,,,0.22,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-12-12,,,0.36,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-12-15,,,0.16,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-12-17,,,0.25,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-12-20,,,1.21,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-12-29,,,0.01,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2022-12-30,,,3.85,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-08,,,1.26,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-21,,,0.24,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-22,,,0.44,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-24,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-25,,,1.08,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-29,,,0.35,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-30,,,0.21,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-01-31,,,0.05,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-02-01,,,0.04,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-02-02,,,0.56,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-02-03,,,0.01,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-02-09,,,0.56,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-02-15,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-02-23,,,0.05,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-17,,,1.83,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-18,,,0.24,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-19,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-21,,,0.0,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-25,,,0.06,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-27,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-03-28,,,0.4,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-06,,,0.08,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-07,,,1.33,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-08,,,0.67,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-16,,,0.04,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-21,,,3.18,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-24,,,0.37,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-25,,,0.05,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-27,,,0.47,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-28,,,0.29,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-04-29,,,0.45,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-05-08,,,0.03,0.0,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-05-10,,,0.33,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-05-11,,,1.4,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-05-14,,,1.83,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-05-15,,,1.8,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-06-04,,,0.04,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-06-09,,,0.89,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-06-11,,,0.31,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-06-22,,,0.32,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-04,,,0.09,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-06,,,0.04,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-07,,,0.42,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-08,,,1.16,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-23,,,0.72,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-24,,,0.0,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-25,,,0.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-07-27,,,0.74,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-08-22,,,0.11,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-08-23,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-05,,,0.07,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-09,,,0.03,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-10,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-14,,,0.43,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-15,,,0.23,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-16,,,2.13,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-26,,,0.44,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-28,,,0.06,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-09-30,,,0.02,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-10-03,,,0.68,,,,29.28236,-94.804984
US1TXGV0018,"GALVESTON 6.4 NE, TX US",2023-10-04,,,1.12,,,,29.28236,-94.804984
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-01,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-02,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-03,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-04,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-05,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-06,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-07,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-08,,,0.0,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-09,,,0.06,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-10,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-11,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-12,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-13,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-14,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-15,,,0.03,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-16,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-17,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-18,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-19,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-20,,,1.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-21,,,0.12,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-22,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-23,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-24,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-25,,,0.73,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-26,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-27,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-28,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-29,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-30,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-01-31,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-01,,,1.18,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-02,,,0.04,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-03,,,0.75,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-04,,,0.1,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-05,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-06,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-07,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-08,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-09,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-10,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-11,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-12,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-13,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-14,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-15,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-16,,,0.04,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-17,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-18,,,0.05,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-19,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-20,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-21,,,0.03,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-22,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-23,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-24,,,0.08,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-25,,,0.1,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-26,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-27,,,0.0,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-02-28,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-01,,,0.0,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-02,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-03,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-04,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-05,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-06,,,0.0,0.0,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-07,,,0.0,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-08,,,0.02,,,,29.206723,-94.946477
US1TXGV0061,"GALVESTON 3.6 WSW, TX US",2022-03-09,,,0.12,,,,29.206723,-94.946477
